FoodName,Country,iso_n3,Continents,Description,Calories,Serving Type,Main Ingredients,Category,PreparationTime,PopularityRank
Tacos,Mexico,484,North America,Corn tortilla filled with meat and vegetables.,250,Hot,"Corn Tortilla, Meat, Vegetables",Snack,20,1
Shawarma,Lebanon,422,Asia,Middle eastern wrap with meat and vegetables.,400,Cold,"Meat, Vegetables, Flatbread",Main Course,30,2
Banh Mi,Vietnam,704,Asia,Vietnamese baguette sandwich with pickled vegetables.,450,Cold,"Baguette, Pork, Pickled Vegetables, Herbs",Snack,25,3
Churros,Spain,724,Europe,Sweet fried dough sticks coated in sugar.,350,Hot,"Flour, Sugar, Cinnamon",Dessert,40,4
Pani Puri,India,356,Asia,Crispy semolina puffs filled with spicy water.,200,Cold,"Semolina, Potatoes, Spices",Snack,30,5
Arepas,Colombia,170,South America,Cornmeal patties filled with meat or cheese.,300,Cold,"Cornmeal, Cheese, Meat",Main Course,25,6
Gyoza,Japan,392,Asia,Pan-fried dumplings.,250,Hot,"Pork, Cabbage, Soy Sauce",Snack,45,7
Doner Kebab,Turkey,792,Europe,Grilled meat served in flatbread.,257,Cold,"Meat, Vegetables, Flatbread",Main Course,25,8
Empanadas,Argentina,32,South America,Pastry filled with meat or cheese.,350,Cold,"Dough, Meat, Cheese",Snack,50,9
Pho,Vietnam,704,Asia,Vietnamese noodle soup.,350,Hot,"Rice Noodles, Beef, Herbs",Main Course,90,10
Pad Thai,Thailand,764,Asia,Thai stir-fried noodles.,550,Hot,"Rice Noodles, Tofu, Eggs, Peanuts",Main Course,30,11
Jerk Chicken,Jamaica,388,North America,Grilled chicken marinated with spices.,500,Hot,"Chicken, Spices, Rice",Main Course,60,12
Falafel,Middle East,,Asia,Chickpea fritters.,300,Hot,"Chickpeas, Herbs, Spices",Snack,30,13
Pierogi,Poland,616,Europe,Dumplings filled with potatoes or cheese.,400,Cold,"Potatoes, Cheese, Dough",Main Course,40,14
Bhel Puri,India,356,Asia,Indian snack with puffed rice and chutneys.,200,Cold,"Puffed Rice, Potatoes, Spices, Chutney",Snack,20,15
Satay,Indonesia,360,Asia,Skewered and grilled meat.,450,Hot,"Meat, Peanut Sauce, Spices",Main Course,40,16
